group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
16U Boys,SHAQ,shaq-16u-boys,SHAQ,29,30,-1,1716.2,1713.0,-3.2,Futures Super Finals,2-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Sand Canyon A,sand-canyon-a-16u-boys,Sand Canyon,30,31,-1,1713.0,1709.5,-3.5,Quiksilver Cup,10 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CC United,cc-united-16u-boys,CC United,31,32,-1,1709.5,1699.1,-10.4,Quiksilver Cup,13 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Supreme,supreme-16u-boys,Supreme,32,33,-1,1699.1,1694.1,-5.0,Futures Super Finals,3-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Asphalt Green,asphalt-green-16u-boys,Asphalt Green,33,34,-1,1694.1,1693.1,-1.0,Futures Super Finals,3-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Back Bay,back-bay-16u-boys,Back Bay,34,35,-1,1693.1,1690.7,-2.4,Futures Super Finals,2-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Monarch WPC,monarch-wpc-16u-boys,Monarch WPC,35,36,-1,1690.7,1690.6,-0.1,,0-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CMAC,cmac-16u-boys,CMAC,36,37,-1,1690.6,1689.6,-1.0,Futures Super Finals,2-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,SoCal,socal-16u-boys,SoCal,37,38,-1,1689.6,1665.0,-24.6,SOPAC JO Quals,2-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CT Premier,ct-premier-16u-boys,CT Premier,38,39,-1,1665.0,1660.6,-4.4,Futures Super Finals,2-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,BOA,boa-16u-boys,BOA,39,40,-1,1660.6,1659.2,-1.4,,0-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Sand Canyon,sand-canyon-16u-boys,Sand Canyon,40,41,-1,1659.2,1650.1,-9.1,,0-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Stanford B,stanford-b-16u-boys,Stanford,41,42,-1,1650.1,1650.1,0.0,Futures Super Finals,3-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CC United Blue,cc-united-blue-16u-boys,CC United,42,43,-1,1650.1,1648.5,-1.6,Newport Spring Invite,3-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CHAWP B,chawp-b-16u-boys,CHAWP,43,44,-1,1648.5,1648.3,-0.2,SOPAC JO Quals,2-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Trilogy,trilogy-16u-boys,Trilogy,44,45,-1,1648.3,1638.7,-9.6,Futures Super Finals,2-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,La Jolla United Gold,la-jolla-united-gold-16u-boys,La Jolla United,45,46,-1,1638.7,1637.4,-1.3,Quiksilver Cup,7 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_alias_corrected_7_29|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Foothill,foothill-16u-boys,Foothill,46,47,-1,1637.4,1630.6,-6.8,CCA JO Quals,2-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,SD ECA,sd-eca-16u-boys,SD ECA,47,48,-1,1630.6,1626.4,-4.2,K7 Cup,3-5,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,SD Dons,sd-dons-16u-boys,SD Dons,48,49,-1,1626.4,1611.9,-14.5,Futures Super Finals,1-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,LV Legends,lv-legends-16u-boys,LV Legends,49,50,-1,1611.9,1608.6,-3.3,CCA JO Quals,2-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,South Coast B,south-coast-b-16u-boys,South Coast,50,51,-1,1608.6,1605.5,-3.1,Futures Super Finals,1-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Sj Foundation,sj-foundation-16u-boys,Sj Foundation,51,52,-1,1605.5,1595.2,-10.3,Futures Super Finals,1-4,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
