group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
16U Boys,16,Lamorinda,Lamorinda,1,11,-5,17,Championship,Platinum,17,17,4-4,Lamorinda A
16U Boys,17,La Jolla United B,La Jolla United,2,46,29,16,Championship,Platinum,16,16,4-4,La Jolla United B
16U Boys,18,SJ Foundation,SJ Foundation,1,52,34,19,Championship,Platinum,19,19,4-4,San Jose Foundation
16U Boys,19,Long Beach Shore,Long Beach Shore,1,80,61,18,Championship,Platinum,18,18,4-4,LB Shore Red
16U Boys,20,Rose Bowl,Rose Bowl,1,17,-3,20,Championship,Platinum,20,20,4-5,Rose Bowl Red
16U Boys,21,Longhorn,Longhorn,1,,0,21,Championship,Platinum,21,21,4-4,Longhorn
16U Boys,22,Sand Canyon,Sand Canyon,1,31,9,22,Championship,Platinum,22,22,3-5,Sand Canyon Black
16U Boys,23,SD Dons,SD Dons,1,49,26,24,Championship,Platinum,24,24,4-4,SD Dons
16U Boys,24,680,680,1,28,4,23,Championship,Platinum,23,23,3-5,680 Red
16U Boys,25,LA Premier,LA Premier,1,10,-15,25,Championship,Gold,25,1,5-4,La Premier
16U Boys,26,Honolulu Water Polo A,Honolulu Water Polo,1,,0,26,Championship,Gold,26,2,5-3,Honolulu A
16U Boys,27,CC United B,CC United,2,43,16,27,Championship,Gold,27,3,5-3,CC United Blue B
16U Boys,28,Clovis A,Clovis,1,71,43,28,Championship,Gold,28,4,4-5,Clovis A
16U Boys,29,Santa Cruz A,Santa Cruz,1,56,27,29,Championship,Gold,29,5,5-4,Santa Cruz
16U Boys,30,Vnited,Vnited,1,,0,30,Championship,Gold,30,6,5-5,Vnited A
16U Boys,31,American River,American River,1,,0,31,Championship,Gold,31,7,4-5,American River Blue
16U Boys,32,Capital,Capital,1,,0,32,Championship,Gold,32,8,3-5,Capital
16U Boys,33,Mission,Mission,1,5,-28,33,Championship,Gold,33,9,4-4,Mission
16U Boys,34,Pegasus,Pegasus,1,,0,34,Championship,Gold,34,10,4-4,Pegasus Blue
16U Boys,35,Greenwich B,Greenwich,2,,0,35,Championship,Gold,35,11,3-5,Greenwich White
