group,rank,current_team,current_slug,current_club,current_club_slug,issue_types,same_group_possible_duplicate_matches,same_club_other_teams_in_group,recommended_action,decision,canonical_team_name,canonical_team_slug,canonical_club,canonical_club_slug,merge_into_existing_slug,keep_separate,notes
16U Boys,24,Commerce,commerce-16u-boys,Commerce,commerce,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,27,CDM,cdm-16u-boys,CDM,cdm,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,28,680 A,680-a-16u-boys,680,680,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,30,SHAQ,shaq-16u-boys,SHAQ,shaq,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,33,Supreme,supreme-16u-boys,Supreme,supreme,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,34,Asphalt Green,asphalt-green-16u-boys,Asphalt Green,asphalt-green,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,35,Back Bay,back-bay-16u-boys,Back Bay,back-bay,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,36,Monarch WPC,monarch-wpc-16u-boys,Monarch WPC,monarch-wpc,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,37,CMAC,cmac-16u-boys,CMAC,cmac,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,38,SoCal,socal-16u-boys,SoCal,socal,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,39,CT Premier,ct-premier-16u-boys,CT Premier,ct-premier,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,40,BOA,boa-16u-boys,BOA,boa,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,45,Trilogy,trilogy-16u-boys,Trilogy,trilogy,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,47,Foothill,foothill-16u-boys,Foothill,foothill,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,48,SD ECA,sd-eca-16u-boys,SD ECA,sd-eca,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,49,SD Dons,sd-dons-16u-boys,SD Dons,sd-dons,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,50,LV Legends,lv-legends-16u-boys,LV Legends,lv-legends,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,52,Sj Foundation,sj-foundation-16u-boys,Sj Foundation,sj-foundation,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,56,Santa Cruz,santa-cruz-16u-boys,Santa Cruz,santa-cruz,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,58,Loyola Wpc,loyola-wpc-16u-boys,Loyola Wpc,loyola-wpc,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,59,Shore Aquatics B,shore-aquatics-b-16u-boys,Shore Aquatics,shore-aquatics,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,60,Mid Pen,mid-pen-16u-boys,Mid Pen,mid-pen,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,62,Hieland,hieland-16u-boys,Hieland,hieland,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,64,Brea Olinda,brea-olinda-16u-boys,Brea Olinda,brea-olinda,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,65,Cal Republic,cal-republic-16u-boys,Cal Rep,cal-rep,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,66,Big Valley,big-valley-16u-boys,Big Valley,big-valley,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,69,Devils Gate,devils-gate-16u-boys,Devil's Gate,devils-gate,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,70,Tsunami,tsunami-16u-boys,Rancho Tsunami,rancho-tsunami,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,71,Clovis,clovis-16u-boys,Clovis,clovis,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,73,Wcac United,wcac-united-16u-boys,Wcac United,wcac-united,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,74,Elite,elite-16u-boys,Elite,elite,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Boys,75,Titans,titans-16u-boys,Titans,titans,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,14,Tsunami,tsunami-16u-girls,Rancho Tsunami,rancho-tsunami,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,17,Commerce,commerce-16u-girls,Commerce,commerce,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,19,CHAWP B,chawp-b-16u-girls,CHAWP,chawp,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,21,Palos Verdes,palos-verdes-16u-girls,Palos Verdes,palos-verdes,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,22,SoCal,socal-16u-girls,SoCal,socal,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,23,Legacy,legacy-16u-girls,Legacy,legacy,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,24,Temple City,temple-city-16u-girls,Temple City,temple-city,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,26,CIU,ciu-16u-girls,CIU,ciu,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,27,Arroyo Grande,arroyo-grande-16u-girls,Arroyo Grande,arroyogrande,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,29,Asphalt Green,asphalt-green-16u-girls,Asphalt Green,asphalt-green,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,30,Rose Bowl,rose-bowl-16u-girls,Rose Bowl,rose-bowl,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,31,Viking White,viking-white-16u-girls,Viking,viking,quiksilver_evidence_review|same_club_multiple_teams_in_group,,LB Viking #18 depth=1,Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,32,Bulldog,bulldog-16u-girls,Bulldog,bulldog,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,33,Clovis,clovis-16u-girls,Clovis,clovis,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
16U Girls,34,CDM,cdm-16u-girls,CDM,cdm,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,2,CC United,cc-united-18u-boys,CC United,cc-united,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,3,Mission,mission-18u-boys,Mission,mission,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,5,North Irvine,north-irvine-18u-boys,North Irvine,north-irvine,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,12,South Coast,south-coast-18u-boys,South Coast,south-coast,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,13,Tsunami,tsunami-18u-boys,Rancho Tsunami,rancho-tsunami,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,14,Supreme,supreme-18u-boys,Supreme,supreme,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,20,Commerce,commerce-18u-boys,Commerce,commerce,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,21,San Diego Shores,san-diego-shores-18u-boys,San Diego Shores,san-diego-shores,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,24,SET,set-18u-boys,SET,set,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,25,Hieland,hieland-18u-boys,Hieland,hieland,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,27,San Francisco,san-francisco-18u-boys,San Francisco,san-francisco,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,29,PAC Orange,pac-orange-18u-boys,PAC Orange,pac-orange,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,33,Diablo Alliance A,diablo-alliance-a-18u-boys,Diablo Alliance,diablo-alliance,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,34,Route 66,route-66-18u-boys,Route 66,route-66,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,36,American River,american-river-18u-boys,American River,american-river,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,37,La Jolla United B,la-jolla-united-b-18u-boys,La Jolla United,la-jolla-united,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,40,San Jose Express,san-jose-express-18u-boys,San Jose Express,sj-express,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,42,SFV,sfv-18u-boys,SFV,sfv,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,44,Rose Bowl,rose-bowl-18u-boys,Rose Bowl,rose-bowl,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Boys,45,Yeti,yeti-18u-boys,Yeti,yeti,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,7,Mission,mission-18u-girls,Mission,mission,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,8,Rose Bowl,rose-bowl-18u-girls,Rose Bowl,rose-bowl,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,10,Foothill,foothill-18u-girls,Foothill,foothill,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,11,Legacy,legacy-18u-girls,Legacy,legacy,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,12,Stanford A,stanford-a-18u-girls,Stanford,stanford,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,13,Santa Cruz,santa-cruz-18u-girls,Santa Cruz,santa-cruz,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,14,Palos Verdes,palos-verdes-18u-girls,Palos Verdes,palos-verdes,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,18,Tsunami,tsunami-18u-girls,Rancho Tsunami,rancho-tsunami,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,19,Seaside,seaside-18u-girls,Seaside,seaside,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,21,Davis,davis-18u-girls,Davis,davis,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,24,Clovis,clovis-18u-girls,Clovis,clovis,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,25,OVAC,ovac-18u-girls,OVAC,ovac,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,26,San Clemente,san-clemente-18u-girls,San Clemente,san-clemente,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,27,Bulldog,bulldog-18u-girls,Bulldog,bulldog,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,28,South Coast,south-coast-18u-girls,South Coast,south-coast,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,29,Patriot,patriot-18u-girls,Patriot,patriot,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,33,Asphalt Green,asphalt-green-18u-girls,Asphalt Green,asphalt-green,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,34,Commerce,commerce-18u-girls,Commerce,commerce,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,35,North Irvine,north-irvine-18u-girls,North Irvine,north-irvine,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,36,Thunder,thunder-18u-girls,Thunder,thunder,official_logo_needed|quiksilver_evidence_review,,,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
18U Girls,37,Sand Canyon,sand-canyon-18u-girls,Sand Canyon,sand-canyon,quiksilver_evidence_review,,,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,33,SMAC Black,smac-black,Smac,smac,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,34,San Jose Foundation Black,san-jose-foundation-black,SJ Foundation,sj-foundation,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,38,San Jose Wpf,san-jose-wpf,San Jose Wpf,san-jose-wpf,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,39,ECA,eca,SD ECA,sd-eca,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,41,Sharks,sharks,Sharks,sharks,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,43,Trilogy,trilogy,Trilogy,trilogy,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,51,Farallon,farallon,Farallon,farallon,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,53,CMAC,cmac,Cmac,cmac,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,55,Whittier,whittier,Whittier,whittier,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,63,PAC,pac,Pasadena AC,pasadena-ac,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,79,Poway Valley,poway-valley,Poway Valley,poway-valley,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,81,La City United,la-city-united,La City United,la-city-united,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,85,NGen,ngen,Ngen,ngen,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Girls,36,CMAC,cmac-12u-girls,CMAC,cmac,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
12U Girls,37,Whittier,whittier-12u-girls,Whittier,whittier,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,29,Devils Gate A,devils-gate-a,Devils Gate,devils-gate,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,37,Pegasus A,pegasus-a,Pegasus,pegasus,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,46,Northwest A,northwest-a,Northwest,northwest,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,48,Kingsburg A,kingsburg-a,Kingsburg,kingsburg,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,61,San Francisco A,san-francisco-a,San Francisco,san-francisco,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,62,CVU A,cvu-a,CVU,cvu,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,63,Poway Valley Black,poway-valley-black,Poway Valley Black,poway-valley-black,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,67,Sharks A,sharks-a,Sharks,sharks,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,68,Pasadena AC A,pasadena-ac-a,Pasadena AC,pasadena-ac,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,72,Loyola WPC A,loyola-wpc-a,Loyola WPC,loyola-wpc,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,74,Hieland A,hieland-a,Hieland,hieland,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,79,Gold Coast A,gold-coast-a,Gold Coast,gold-coast,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,81,Brea Olinda Gold,brea-olinda-gold,Brea Olinda Gold,brea-olinda-gold,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,82,SD ECA A,sd-eca-a,SD ECA,sd-eca,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,86,Nado A,nado-a,Nado,nado,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,88,CT Premier A,ct-premier-a,CT Premier,ct-premier,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,94,Burlingame A,burlingame-a,Burlingame,burlingame,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,95,Trilogy A,trilogy-a,Trilogy,trilogy,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,99,Triton Gold,triton-gold,Triton Gold,triton-gold,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,101,BOA A,boa-a,BOA,boa,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,102,Midpen A,midpen-a,Midpen,midpen,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Boys,106,Tri-Valley Tritons A,tri-valley-tritons-a,Tri-Valley Tritons,tri-valley-tritons,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,31,Rogue 619,rogue-619-14u-girls,Rogue 619,rogue-619,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,36,Asphalt Green,asphalt-green-14u-girls,Asphalt Green,asphalt-green,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,37,Mavericks,mavericks-14u-girls,Mavericks,mavericks,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,38,PAC Premier,pac-premier-14u-girls,PAC Premier,pac-premier,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,39,Thunder,thunder-14u-girls,Thunder,thunder,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,41,Sharks,sharks-14u-girls,Sharks,sharks,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,42,Praetorian,praetorian-14u-girls,Praetorian,praetorian,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,43,Big Valley,big-valley-14u-girls,Big Valley,big-valley,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,45,Central Coast,central-coast-14u-girls,Central Coast,central-coast,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,46,Gold Coast,gold-coast-14u-girls,Gold Coast,gold-coast,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,47,Seaside,seaside-14u-girls,Seaside,seaside,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,49,Elite,elite-14u-girls,Elite,elite,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,50,ECA,eca-14u-girls,ECA,sd-eca,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,55,Honolulu Water Polo,honolulu-water-polo-14u-girls,Honolulu Water Polo,honolulu-water-polo,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,56,Innis Arden,innis-arden-14u-girls,Innis Arden,innis-arden,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,59,PAC Orange,pac-orange-14u-girls,PAC Orange,pac-orange,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,60,LOWPO,lowpo-14u-girls,LOWPO,lowpo,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,65,Mid Valley,mid-valley-14u-girls,Mid Valley,mid-valley,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,68,Northwest,northwest-14u-girls,Northwest,northwest,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,70,South Bay United,south-bay-united-14u-girls,South Bay United,south-bay-united,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,76,Trilogy,trilogy-14u-girls,Trilogy,trilogy,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,77,CCWP,ccwp-14u-girls,CCWP,ccwp,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
16U Girls,4,Meridian,meridian-16u-girls,Meridian,meridian,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
16U Girls,15,Club Daygo,club-daygo-16u-girls,Club Daygo,club-daygo,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
18U Boys,18,TSM,tsm-18u-boys,TSM,tsm,official_logo_needed,,,Collect official logo screenshot/source when available.,,,,,,,,
14U Girls,71,Los Alamitos,los-alamitos-14u-girls,Los Alamitos,los-alamitos,same_club_multiple_teams_in_group,,Los Alamitos Garnet #69 depth=2,Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
